,cds,ccode,enroll_12,num_act,act_pass_21,num_sat_12,sat_pass_12,enroll_11,num_sat_11,sat_pass_11,act_pt_r,act_ps_r,sat_pt_r_12,sat_ps_r_12,sat_pt_r_11,sat_ps_r_11,sat_pt_r,sat_ps_r
402,19647331934157,19.0,301.0,44.0,7,130.0,13.0,343.0,311.0,32.0,0.07308970099667775,0.023255813953488372,0.4318936877076412,0.1,0.9067055393586005,0.10289389067524116,0.6847826086956522,0.06987577639751552
403,19647330101196,19.0,120.0,21.0,3,73.0,6.0,170.0,25.0,2.0,0.0875,0.025,0.6083333333333333,0.0821917808219178,0.14705882352941177,0.08,0.33793103448275863,0.027586206896551724
404,01611920137646,1.0,102.0,23.0,5,54.0,21.0,121.0,96.0,38.0,0.11274509803921569,0.049019607843137254,0.5294117647058824,0.3888888888888889,0.7933884297520661,0.3958333333333333,0.672645739910314,0.2645739910313901
405,13631641335900,13.0,279.0,65.0,35,78.0,34.0,310.0,60.0,41.0,0.11648745519713262,0.12544802867383512,0.27956989247311825,0.4358974358974359,0.1935483870967742,0.6833333333333333,0.23429541595925296,0.1273344651952462
406,43694274330031,43.0,683.0,86.0,40,244.0,132.0,717.0,635.0,258.0,0.0629575402635432,0.05856515373352855,0.35724743777452417,0.5409836065573771,0.8856345885634589,0.4062992125984252,0.6278571428571429,0.2785714285714286
407,15635290116392,15.0,511.0,41.0,15,166.0,50.0,500.0,108.0,57.0,0.040117416829745595,0.029354207436399216,0.324853228962818,0.30120481927710846,0.216,0.5277777777777778,0.27101879327398615,0.10583580613254204
408,34752830102236,34.0,471.0,463.0,110,221.0,81.0,583.0,529.0,188.0,0.49150743099787686,0.23354564755838642,0.4692144373673036,0.3665158371040724,0.9073756432246999,0.3553875236294896,0.7115749525616698,0.25521821631878555
409,36678760125450,36.0,382.0,110.0,20,65.0,10.0,426.0,353.0,43.0,0.14397905759162305,0.05235602094240838,0.17015706806282724,0.15384615384615385,0.8286384976525821,0.12181303116147309,0.5173267326732673,0.0655940594059406
410,33670583333192,33.0,517.0,45.0,9,174.0,23.0,469.0,377.0,46.0,0.043520309477756286,0.017408123791102514,0.3365570599613153,0.13218390804597702,0.8038379530916845,0.1220159151193634,0.5588235294117647,0.06997971602434078
411,19646341934231,19.0,176.0,60.0,6,76.0,3.0,206.0,27.0,1.0,0.17045454545454544,0.03409090909090909,0.4318181818181818,0.039473684210526314,0.13106796116504854,0.037037037037037035,0.2696335078534031,0.010471204188481676
412,19101991995869,19.0,131.0,54.0,44,75.0,49.0,131.0,62.0,52.0,0.20610687022900764,0.33587786259541985,0.5725190839694656,0.6533333333333333,0.4732824427480916,0.8387096774193549,0.5229007633587787,0.38549618320610685
413,19647330107011,19.0,84.0,36.0,10,61.0,21.0,94.0,91.0,30.0,0.21428571428571427,0.11904761904761904,0.7261904761904762,0.3442622950819672,0.9680851063829787,0.32967032967032966,0.8539325842696629,0.28651685393258425
414,30736503030152,30.0,533.0,139.0,127,168.0,144.0,488.0,220.0,213.0,0.1303939962476548,0.23827392120075047,0.3151969981238274,0.8571428571428571,0.45081967213114754,0.9681818181818181,0.38001958863858964,0.34965719882468166
415,01611760134270,1.0,497.0,111.0,103,179.0,152.0,552.0,349.0,338.0,0.11167002012072434,0.20724346076458752,0.36016096579476864,0.8491620111731844,0.6322463768115942,0.9684813753581661,0.5033365109628217,0.4671115347950429
416,19647331933381,19.0,581.0,269.0,56,318.0,91.0,627.0,602.0,137.0,0.2314974182444062,0.0963855421686747,0.5473321858864028,0.2861635220125786,0.960127591706539,0.22757475083056478,0.7615894039735099,0.18874172185430463
417,50711750110593,50.0,577.0,88.0,54,199.0,103.0,565.0,177.0,136.0,0.07625649913344887,0.09358752166377816,0.34488734835355284,0.5175879396984925,0.31327433628318585,0.768361581920904,0.329246935201401,0.20928196147110334
418,01612420134668,1.0,885.0,132.0,90,336.0,201.0,889.0,358.0,260.0,0.07457627118644068,0.1016949152542373,0.37966101694915255,0.5982142857142857,0.4026996625421822,0.7262569832402235,0.39120631341600903,0.25986471251409243
419,19647331935865,19.0,510.0,51.0,18,183.0,33.0,416.0,361.0,36.0,0.05,0.03529411764705882,0.3588235294117647,0.18032786885245902,0.8677884615384616,0.0997229916897507,0.5874730021598272,0.07451403887688984
420,41689244133393,41.0,260.0,19.0,9,228.0,41.0,290.0,64.0,34.0,0.03653846153846154,0.03461538461538462,0.8769230769230769,0.17982456140350878,0.2206896551724138,0.53125,0.5309090909090909,0.13636363636363635
421,48705814830147,48.0,380.0,44.0,13,131.0,35.0,397.0,97.0,43.0,0.05789473684210526,0.034210526315789476,0.3447368421052632,0.26717557251908397,0.24433249370277077,0.44329896907216493,0.29343629343629346,0.10038610038610038
422,19734521937564,19.0,513.0,51.0,42,194.0,123.0,505.0,197.0,176.0,0.049707602339181284,0.08187134502923976,0.37816764132553604,0.634020618556701,0.3900990099009901,0.8934010152284264,0.3840864440078585,0.293713163064833
423,39754990119040,39.0,349.0,25.0,16,124.0,69.0,377.0,87.0,67.0,0.03581661891117478,0.045845272206303724,0.3553008595988539,0.5564516129032258,0.23076923076923078,0.7701149425287356,0.290633608815427,0.18732782369146006
424,34674393434768,34.0,537.0,70.0,47,187.0,92.0,505.0,453.0,149.0,0.06517690875232775,0.08752327746741155,0.34823091247672255,0.4919786096256685,0.897029702970297,0.32891832229580575,0.6142034548944337,0.23128598848368523
425,33670330110759,33.0,232.0,59.0,33,89.0,50.0,206.0,93.0,66.0,0.1271551724137931,0.14224137931034483,0.38362068965517243,0.5617977528089888,0.45145631067961167,0.7096774193548387,0.4155251141552511,0.2648401826484018
426,01611760134452,1.0,310.0,38.0,29,124.0,68.0,328.0,114.0,88.0,0.06129032258064516,0.0935483870967742,0.4,0.5483870967741935,0.3475609756097561,0.7719298245614035,0.3730407523510972,0.2445141065830721
427,30664313033115,30.0,654.0,55.0,35,252.0,174.0,556.0,177.0,150.0,0.04204892966360856,0.053516819571865444,0.3853211009174312,0.6904761904761905,0.3183453237410072,0.847457627118644,0.35454545454545455,0.26776859504132233
428,19647331939941,19.0,463.0,32.0,14,245.0,78.0,544.0,506.0,162.0,0.03455723542116631,0.03023758099352052,0.5291576673866091,0.3183673469387755,0.9301470588235294,0.3201581027667984,0.7457795431976166,0.23833167825223436
429,19647331932987,19.0,675.0,44.0,26,254.0,83.0,618.0,573.0,157.0,0.03259259259259259,0.03851851851851852,0.3762962962962963,0.32677165354330706,0.9271844660194175,0.27399650959860383,0.6395978344934261,0.18561484918793503
430,19648401933647,19.0,314.0,43.0,8,279.0,31.0,302.0,273.0,40.0,0.06847133757961783,0.025477707006369428,0.8885350318471338,0.1111111111111111,0.9039735099337748,0.14652014652014653,0.8961038961038961,0.11525974025974026
